operation,timestamp,datetime,cpu_percent,memory_mb,execution_time_ms
status_verification,1749701782.6788876,2025-06-12 13:16:22.678,3.04,1.41,0.0781379931140691
prepare_profile,1749701782.964015,2025-06-12 13:16:22.964,13.09,7.95,0.22919601178728044
key_establishment,1749701782.9660006,2025-06-12 13:16:22.966,18.81,3.29,0.32765298965387046
key_establishment,1749701782.9676316,2025-06-12 13:16:22.967,21.59,4.37,0.19396599964238703
register_euicc,1749701782.969294,2025-06-12 13:16:22.969,10.58,4.59,0.16997900092974305
create_isdp,1749701782.9706213,2025-06-12 13:16:22.970,9.42,1.84,0.12320498353801668
install_profile,1749701782.9721465,2025-06-12 13:16:22.972,21.74,8.53,0.3301110118627548
enable_profile,1749701782.9737177,2025-06-12 13:16:22.973,9.25,3.04,0.1260839926544577
install_profile,1749701782.9751005,2025-06-12 13:16:22.975,28.48,10.54,0.17477202345617115
key_establishment,1749701782.9771771,2025-06-12 13:16:22.977,20.7,6.34,0.3521830076351762
